Date,Open,High,Low,Close,Adj Close,Volume
2011-02-02,7.000000,8.000000,5.000000,6.300000,6.300000,2495760
2011-02-03,6.500000,7.000000,5.650000,6.200000,6.200000,1046739
2011-02-04,6.150000,6.550000,5.910000,6.000000,6.000000,1525366
2011-02-07,6.130000,6.250000,5.790000,5.900000,5.900000,1715759
2011-02-08,5.880000,6.000000,5.800000,5.909000,5.909000,661546
2011-02-09,5.880000,6.150000,5.125000,5.500000,5.500000,1684739
2011-02-10,5.500000,5.700000,5.250000,5.250000,5.250000,117754
2011-02-11,5.500000,5.500000,5.000000,5.380000,5.380000,2628404
2011-02-14,5.375000,5.400000,5.063000,5.125000,5.125000,408326
2011-02-15,5.085000,5.150000,5.032000,5.125000,5.125000,328856
2011-02-16,5.000000,5.079000,5.000000,5.125000,5.125000,10673
2011-02-17,5.000000,5.076000,5.000000,5.125000,5.125000,53300
2011-02-18,4.782000,4.950000,4.782000,4.875000,4.875000,96656
2011-02-21,4.750000,5.100000,4.750000,5.125000,5.125000,177519
2011-02-22,5.000000,5.000000,4.990000,5.000000,5.000000,156363
2011-02-23,4.750000,4.875000,4.750000,4.875000,4.875000,79916
2011-02-24,4.863000,4.863000,4.800000,4.875000,4.875000,13358
2011-02-25,4.750000,4.750000,4.750000,4.875000,4.875000,2000
2011-02-28,4.855000,4.855000,4.825000,4.875000,4.875000,37481
2011-03-01,4.825000,4.825000,4.750000,4.875000,4.875000,86366
2011-03-02,4.875000,5.000000,4.500000,4.625000,4.625000,177618
2011-03-03,4.590000,4.590000,4.300000,4.500000,4.500000,64837
2011-03-04,4.300000,4.525000,4.250000,4.375000,4.375000,307976
2011-03-07,4.380000,4.495000,4.250000,4.375000,4.375000,506347
2011-03-08,4.375000,4.375000,4.250000,4.375000,4.375000,134938
2011-03-09,4.363000,4.363000,4.350000,4.375000,4.375000,30000
2011-03-10,4.350000,4.350000,4.250000,4.375000,4.375000,26707
2011-03-11,4.250000,4.250000,3.750000,3.875000,3.875000,935567
2011-03-14,3.810000,4.125000,3.800000,4.250000,4.250000,596828
2011-03-15,3.875000,4.150000,3.625000,4.125000,4.125000,280441
2011-03-16,4.125000,4.125000,3.750000,3.875000,3.875000,768651
2011-03-17,3.880000,3.880000,3.875000,3.875000,3.875000,48678
